,layer,pos,prob
0,0,0,2.240994945168495e-09
1,0,1,1.8917489796876907e-09
2,0,2,2.0081643015146255e-09
3,0,3,1.8553691916167736e-09
4,0,4,1.622538547962904e-09
5,0,5,1.8917489796876907e-09
6,0,6,2.08092387765646e-09
7,0,7,1.6952981241047382e-09
8,1,0,2.240994945168495e-09
9,1,1,2.0227162167429924e-09
10,1,2,1.5788828022778034e-09
11,1,3,1.6807462088763714e-09
12,1,4,2.561137080192566e-09
13,1,5,2.473825588822365e-09
14,1,6,2.4156179279088974e-09
15,1,7,2.051820047199726e-09
16,2,0,2.240994945168495e-09
17,2,1,5.0640664994716644e-09
18,2,2,2.0081643015146255e-09
19,2,3,1.877197064459324e-09
20,2,4,3.2887328416109085e-09
21,2,5,2.0081643015146255e-09
22,2,6,2.270098775625229e-09
23,2,7,2.444721758365631e-09
24,3,0,2.240994945168495e-09
25,3,1,9.022187441587448e-09
26,3,2,2.371962182223797e-09
27,3,3,2.546585164964199e-09
28,3,4,1.5788828022778034e-09
29,3,5,1.2441887520253658e-09
30,3,6,1.811713445931673e-09
31,3,7,1.6298145055770874e-09
32,4,0,2.240994945168495e-09
33,4,1,7.916241884231567e-09
34,4,2,1.9936123862862587e-09
35,4,3,4.016328603029251e-09
36,4,4,1.7171259969472885e-09
37,4,5,1.6516423784196377e-09
38,4,6,1.4915713109076023e-09
39,4,7,1.3387762010097504e-09
40,5,0,2.240994945168495e-09
41,5,1,5.50062395632267e-09
42,5,2,1.7316779121756554e-09
43,5,3,4.103640094399452e-09
44,5,4,1.418811734765768e-09
45,5,5,1.0695657692849636e-09
46,5,6,1.5279510989785194e-09
47,5,7,1.7025740817189217e-09
48,6,0,2.240994945168495e-09
49,6,1,4.743924364447594e-09
50,6,2,1.2878444977104664e-09
51,6,3,6.315531209111214e-09
52,6,4,1.7971615307033062e-09
53,6,5,9.313225746154785e-10
54,6,6,2.1827872842550278e-09
55,6,7,1.367880031466484e-09
56,7,0,2.240994945168495e-09
57,7,1,7.30506144464016e-09
58,7,2,8.985807653516531e-10
59,7,3,6.577465683221817e-09
60,7,4,1.3751559890806675e-09
61,7,5,5.529727786779404e-10
62,7,6,2.1973391994833946e-09
