,layer,pos,prob
0,0,0,2.240994945168495e-09
1,0,1,2.9685907065868378e-09
2,0,2,2.08092387765646e-09
3,0,3,2.168235369026661e-09
4,0,4,2.7939677238464355e-09
5,0,5,1.6807462088763714e-09
6,0,6,1.7971615307033062e-09
7,0,7,2.4883775040507317e-09
8,1,0,2.240994945168495e-09
9,1,1,3.157765604555607e-09
10,1,2,2.240994945168495e-09
11,1,3,2.270098775625229e-09
12,1,4,2.5756889954209328e-09
13,1,5,2.5756889954209328e-09
14,1,6,2.240994945168495e-09
15,1,7,1.82626536116004e-09
16,2,0,2.240994945168495e-09
17,2,1,2.6775524020195007e-09
18,2,2,1.7680577002465725e-09
19,2,3,3.6961864680051804e-09
20,2,4,3.041350282728672e-09
21,2,5,3.055902197957039e-09
22,2,6,2.0372681319713593e-09
23,2,7,2.2846506908535957e-09
24,3,0,2.240994945168495e-09
25,3,1,3.245077095925808e-09
26,3,2,2.2264430299401283e-09
27,3,3,3.92901711165905e-09
28,3,4,2.8085196390748024e-09
29,3,5,2.6047928258776665e-09
30,3,6,2.3865140974521637e-09
31,3,7,2.255546860396862e-09
32,4,0,2.240994945168495e-09
33,4,1,4.132743924856186e-09
34,4,2,2.473825588822365e-09
35,4,3,2.371962182223797e-09
36,4,4,3.5070115700364113e-09
37,4,5,1.3969838619232178e-09
38,4,6,2.0227162167429924e-09
39,4,7,2.0372681319713593e-09
40,5,0,2.240994945168495e-09
41,5,1,4.336470738053322e-09
42,5,2,4.3655745685100555e-09
43,5,3,2.735760062932968e-09
44,5,4,2.852175384759903e-09
45,5,5,1.1641532182693481e-09
46,5,6,1.9936123862862587e-09
47,5,7,2.371962182223797e-09
48,6,0,2.240994945168495e-09
49,6,1,5.005858838558197e-09
50,6,2,4.889443516731262e-09
51,6,3,3.1868694350123405e-09
52,6,4,2.735760062932968e-09
53,6,5,1.6443664208054543e-09
54,6,6,1.9208528101444244e-09
55,6,7,2.1100277081131935e-09
56,7,0,2.240994945168495e-09
57,7,1,4.190951585769653e-09
58,7,2,4.132743924856186e-09
59,7,3,3.812601789832115e-09
60,7,4,2.0227162167429924e-09
61,7,5,1.5497789718210697e-09
62,7,6,1.8917489796876907e-09
63,7,7,2.2264430299401283e-09
64,8,0,2.240994945168495e-09
65,8,1,4.2782630771398544e-09
66,8,2,4.0745362639427185e-09
67,8,3,3.725290298461914e-09
68,8,4,2.7939677238464355e-09
69,8,5,2.546585164964199e-09
70,8,6,3.026798367500305e-09
71,8,7,2.0081643015146255e-09
72,9,0,2.240994945168495e-09
73,9,1,6.868503987789154e-09
74,9,2,6.111804395914078e-09
75,9,3,2.7066562324762344e-09
76,9,4,3.4924596548080444e-09
77,9,5,2.663000486791134e-09
78,9,6,1.7971615307033062e-09
79,9,7,4.0745362639427185e-09
80,10,0,2.240994945168495e-09
81,10,1,6.548361852765083e-09
82,10,2,6.402842700481415e-09
83,10,3,3.2014213502407074e-09
84,10,4,3.3905962482094765e-09
85,10,5,2.837623469531536e-09
86,10,6,2.939486876130104e-09
87,10,7,5.209585651755333e-09
88,11,0,2.240994945168495e-09
89,11,1,2.4010660126805305e-09
90,11,2,6.955815479159355e-09
91,11,3,3.536115400493145e-09
92,11,4,3.2159732654690742e-09
93,11,5,2.1391315385699272e-09
94,11,6,2.270098775625229e-09
95,11,7,5.326000973582268e-09
96,12,0,2.240994945168495e-09
97,12,1,2.1973391994833946e-09
98,12,2,4.8603396862745285e-09
99,12,3,4.685716703534126e-09
100,12,4,2.6193447411060333e-09
101,12,5,1.9208528101444244e-09
102,12,6,3.6961864680051804e-09
103,12,7,4.2782630771398544e-09
104,13,0,2.240994945168495e-09
105,13,1,1.9936123862862587e-09
106,13,2,3.899913281202316e-09
107,13,3,2.7212081477046013e-09
108,13,4,3.041350282728672e-09
109,13,5,3.055902197957039e-09
110,13,6,3.14321368932724e-09
111,13,7,3.3905962482094765e-09
112,14,0,2.240994945168495e-09
113,14,1,2.663000486791134e-09
114,14,2,3.2741809263825417e-09
115,14,3,1.9354047253727913e-09
116,14,4,2.648448571562767e-09
117,14,5,3.5797711461782455e-09
118,14,6,2.5320332497358322e-09
119,14,7,2.4883775040507317e-09
120,15,0,2.240994945168495e-09
121,15,1,2.6047928258776665e-09
122,15,2,2.86672729998827e-09
123,15,3,2.3283064365386963e-09
124,15,4,1.0113581083714962e-09
125,15,5,3.725290298461914e-09
126,15,6,2.5174813345074654e-09
127,15,7,2.1391315385699272e-09
128,16,0,2.240994945168495e-09
129,16,1,2.7794158086180687e-09
130,16,2,2.546585164964199e-09
131,16,3,2.954038791358471e-09
132,16,4,2.4010660126805305e-09
133,16,5,4.540197551250458e-09
134,16,6,2.8085196390748024e-09
135,16,7,2.8812792152166367e-09
136,17,0,2.240994945168495e-09
