,layer,pos,yes_prob,no_prob
0,0,0,0.003701417939737439,0.0037359772250056267
1,0,1,0.003701417939737439,0.0037359772250056267
2,0,2,0.003701417939737439,0.0037359772250056267
3,0,3,0.003701417939737439,0.0037359772250056267
4,0,4,0.003701417939737439,0.0037359772250056267
5,0,5,0.003701417939737439,0.0037359772250056267
6,0,6,0.005293933674693108,0.005216423887759447
7,0,7,0.0030752301681786776,0.0022382475435733795
8,0,8,0.003609004197642207,0.0036752992309629917
9,0,9,0.0035891991574317217,0.0036934437230229378
10,0,10,0.003695755498483777,0.003730942029505968
11,1,0,0.003701417939737439,0.0037359772250056267
12,1,1,0.003701417939737439,0.0037359772250056267
13,1,2,0.003701417939737439,0.0037359772250056267
14,1,3,0.003701417939737439,0.0037359772250056267
15,1,4,0.003701417939737439,0.0037359772250056267
16,1,5,0.003701417939737439,0.0037359772250056267
17,1,6,0.005275788251310587,0.005197338759899139
18,1,7,0.00308630196377635,0.0022525901440531015
19,1,8,0.0035111515317112207,0.0036377308424562216
20,1,9,0.003526870161294937,0.003674732754006982
21,1,10,0.0036588020157068968,0.0037085365038365126
22,2,0,0.003701417939737439,0.0037359772250056267
23,2,1,0.003701417939737439,0.0037359772250056267
24,2,2,0.003701417939737439,0.0037359772250056267
25,2,3,0.003701417939737439,0.0037359772250056267
26,2,4,0.003701417939737439,0.0037359772250056267
27,2,5,0.003701417939737439,0.0037359772250056267
28,2,6,0.005284780170768499,0.005211731884628534
29,2,7,0.0031308361794799566,0.0023350846022367477
30,2,8,0.003532740054652095,0.0036228629760444164
31,2,9,0.0034619176294654608,0.0035968292504549026
32,2,10,0.003654505591839552,0.0037201589439064264
33,3,0,0.003701417939737439,0.0037359772250056267
34,3,1,0.003701417939737439,0.0037359772250056267
35,3,2,0.003701417939737439,0.0037359772250056267
36,3,3,0.003701417939737439,0.0037359772250056267
37,3,4,0.003701417939737439,0.0037359772250056267
38,3,5,0.003701417939737439,0.0037359772250056267
39,3,6,0.005268261302262545,0.005210172384977341
40,3,7,0.00312331086024642,0.002402491867542267
41,3,8,0.0035939724184572697,0.0035824691876769066
42,3,9,0.0034504139330238104,0.0035411156713962555
43,3,10,0.0035901011433452368,0.0036614732816815376
44,4,0,0.003701417939737439,0.0037359772250056267
45,4,1,0.003701417939737439,0.0037359772250056267
46,4,2,0.003701417939737439,0.0037359772250056267
47,4,3,0.003701417939737439,0.0037359772250056267
48,4,4,0.003701417939737439,0.0037359772250056267
49,4,5,0.003701417939737439,0.0037359772250056267
50,4,6,0.005281867925077677,0.00522318622097373
51,4,7,0.0031837155111134052,0.0025026709772646427
52,4,8,0.00357937254011631,0.003519931109622121
53,4,9,0.0034950494300574064,0.0035923589020967484
54,4,10,0.003537268377840519,0.003587061073631048
55,5,0,0.003701417939737439,0.0037359772250056267
56,5,1,0.003701417939737439,0.0037359772250056267
57,5,2,0.003701417939737439,0.0037359772250056267
