,layer,pos,yes_prob,no_prob
0,0,0,0.0006922226748429239,0.0003115671861451119
1,0,1,0.0006922226748429239,0.0003115671861451119
2,0,2,0.0006922226748429239,0.0003115671861451119
3,0,3,0.0006922226748429239,0.0003115671861451119
4,0,4,0.0006922226748429239,0.0003115671861451119
5,0,5,0.0006922226748429239,0.0003115671861451119
6,0,6,0.0004920355859212577,0.00016344169853255153
7,0,7,0.0005381380906328559,0.00019309509661979973
8,0,8,0.0007497058832086623,0.0003409993660170585
9,0,9,0.0006360544357448816,0.0003179229097440839
10,0,10,0.0006374453660100698,0.0002792468003463
11,1,0,0.0006922226748429239,0.0003115671861451119
12,1,1,0.0006922226748429239,0.0003115671861451119
13,1,2,0.0006922226748429239,0.0003115671861451119
14,1,3,0.0006922226748429239,0.0003115671861451119
15,1,4,0.0006922226748429239,0.0003115671861451119
16,1,5,0.0006922226748429239,0.0003115671861451119
17,1,6,0.00039119081338867545,9.238053462468088e-05
18,1,7,0.0006994824507273734,0.00015595303557347506
19,1,8,0.0007519314531236887,0.00033206352964043617
20,1,9,0.0006391238421201706,0.0003127364907413721
21,1,10,0.000657846569083631,0.000295973673928529
22,2,0,0.0006922226748429239,0.0003115671861451119
23,2,1,0.0006922226748429239,0.0003115671861451119
24,2,2,0.0006922226748429239,0.0003115671861451119
25,2,3,0.0006922226748429239,0.0003115671861451119
26,2,4,0.0006922226748429239,0.0003115671861451119
27,2,5,0.0006922226748429239,0.0003115671861451119
28,2,6,0.00031743303406983614,0.00010683939763111994
29,2,7,0.0006495987181551754,0.00012708432041108608
30,2,8,0.0007456681341864169,0.00034321314888074994
31,2,9,0.000654923846013844,0.0003245336120016873
32,2,10,0.0006595459999516606,0.0002878241066355258
33,3,0,0.0006922226748429239,0.0003115671861451119
34,3,1,0.0006922226748429239,0.0003115671861451119
35,3,2,0.0006922226748429239,0.0003115671861451119
36,3,3,0.0006922226748429239,0.0003115671861451119
37,3,4,0.0006922226748429239,0.0003115671861451119
38,3,5,0.0006922226748429239,0.0003115671861451119
39,3,6,0.0002251916885143146,0.00021088299399707466
40,3,7,0.0012336348881945014,0.0002608237264212221
41,3,8,0.0007285193423740566,0.000302539934637025
42,3,9,0.0006350658368319273,0.0003088028752245009
43,3,10,0.0006284221890382469,0.0002687768137548119
44,4,0,0.0006922226748429239,0.0003115671861451119
45,4,1,0.0006922226748429239,0.0003115671861451119
46,4,2,0.0006922226748429239,0.0003115671861451119
47,4,3,0.0006922226748429239,0.0003115671861451119
48,4,4,0.0006922226748429239,0.0003115671861451119
49,4,5,0.0006922226748429239,0.0003115671861451119
50,4,6,0.00017368567932862788,0.0002778251364361495
51,4,7,0.0005991372745484114,0.00019066645472776145
52,4,8,0.0007450853590853512,0.0003138850734103471
53,4,9,0.000623063649982214,0.0002997908741235733
54,4,10,0.0006403299630619586,0.000266755698248744
55,5,0,0.0006922226748429239,0.0003115671861451119
56,5,1,0.0006922226748429239,0.0003115671861451119
57,5,2,0.0006922226748429239,0.0003115671861451119
58,5,3,0.0006922226748429239,0.0003115671861451119
59,5,4,0.0006922226748429239,0.0003115671861451119
60,5,5,0.0006922226748429239,0.0003115671861451119
